"Title:","Breast from the Incidence of Cancer (SEER) [Archive] Database"
"SubTitle:","SEER Registry - Age: All Ages - Gender: All Genders"
"Time:","1975 - 2016"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"1980",,1834,65,,4,,,,,,,,,126,2,,209,1597,10,1,,,,,,,,,,,,,,607,130,1,,1585,333,,,,,,,465,6,11,,,,,,1683,153,1,92,,,,,1301,31,10,18,435,2,1,9
"1981",,1947,68,,3,,,,,,,,,128,,,224,1639,12,2,4,,,,,,,,,,,,,612,161,,1,1795,358,2,8,,,,,485,2,12,,,,,,1643,147,1,93,,,,,1427,36,11,26,472,,,4
"1982",,1914,82,,8,,,,,,,,,143,2,,232,1550,13,2,3,,,,,,,,,,,,,671,142,,2,1847,363,1,3,,,,,484,7,11,,,,,,1807,160,9,101,,,,,1385,39,10,29,486,2,,3
"1983",,2043,80,2,5,,,,,,,,,133,2,,240,1660,18,1,1,,,,,,,,,,,,,686,185,,3,1937,375,,8,,,,,527,9,6,,,,,,1820,204,3,136,,,,,1570,28,17,22,570,8,,4
"1984",,2197,111,2,7,,,,,,,,,161,5,1,258,1749,18,1,2,,,,,,,,,,,,,771,146,,2,1965,412,,9,,,,,600,9,10,2,,,,,2038,201,3,155,,,,,1660,49,8,34,636,2,,3
"1985",,2331,109,,7,,,,,,,,,165,4,,340,1870,13,2,4,,,,,,,,,,,,,942,210,,5,2140,458,2,15,,,,,617,4,15,2,,,,,2295,228,6,179,,,,,1930,42,11,42,622,2,2,7
"1986",,2378,100,,6,,,,,,,,,197,1,1,402,2041,18,,3,,,,,,,,,,,,,928,243,1,5,2218,454,4,12,,,,,657,9,24,,,,,,2366,269,4,192,,,,,2026,40,21,42,725,2,1,4
"1987",,2654,120,2,9,,,,,,,,,212,2,4,423,2169,23,2,1,,,,,,,,,,,,,1033,251,,5,2543,476,1,16,,,,,764,10,14,2,,,,,2541,223,2,195,,,,,2357,37,23,46,768,,3,2
"1988",,2690,142,3,15,,,,,,,,,223,1,1,403,2313,13,1,2,,,,,,,,,,,,,1039,258,,4,2449,525,2,13,,,,,735,9,17,4,,,,,2384,283,4,220,,,,,2275,50,14,54,752,3,,7
"1989",,2641,134,,13,,,,,,,,,220,1,1,419,2163,20,3,2,,,,,,,,,,,,,1042,238,,7,2378,511,3,14,,,,,768,9,14,6,,,,,2366,247,4,249,,,,,2226,45,25,61,737,,1,10
"1990",,2836,153,2,20,,,,,,,,,205,4,,464,2252,15,,4,,,,,,,,,,,,,1090,290,,8,2563,565,3,20,,,,,887,10,16,5,,,,,2436,260,6,308,,,,,2341,51,23,60,756,4,2,9
"1991",,2765,139,1,15,,,,,,,,,208,5,,492,2285,17,2,1,,,,,,,,,,,,,1059,317,1,7,2693,580,3,22,,,,,924,12,24,6,,,,,2496,258,1,278,,,,,2613,64,24,78,857,,3,3
"1992",35,2784,164,,16,,,,,,,,,229,4,2,522,2421,23,3,6,,,,,4505,575,4,434,,,,,1149,340,4,11,2615,636,4,25,,,,,954,17,36,4,35,33,,,2513,261,6,302,1278,33,2,123,2552,67,29,88,815,3,6,13
"1993",36,2790,157,2,16,,,,,,,,,240,5,2,556,2340,24,1,4,,,,,4352,599,6,424,,,,,1183,375,4,13,2590,591,3,27,,,,,894,11,35,7,51,22,,,2403,257,8,310,1276,29,2,127,2594,62,35,100,895,2,1,10
"1994",39,2898,160,1,10,,,,,,,,,236,6,7,518,2342,18,4,5,,,,,4386,634,1,442,,,,,1202,406,,21,2578,657,3,18,,,,,1000,7,36,8,38,27,,,2535,282,2,361,1274,27,3,150,2805,70,23,103,924,4,5,9
"1995",59,2919,145,4,22,,,,,,,,,245,6,3,611,2357,42,2,2,,,,,4448,655,6,506,,,,,1252,409,,16,2788,713,4,25,,,,,1075,18,30,6,57,24,,,2672,282,2,366,1426,25,,182,2899,71,31,111,976,5,4,8
"1996",61,3096,188,,14,,,,,,,,,234,7,5,600,2368,21,1,6,,,,,4585,653,6,567,,,,,1312,479,4,25,2748,676,3,40,,,,,1123,18,45,8,53,32,,1,2767,286,5,437,1424,34,1,177,2896,72,44,119,990,3,5,16
"1997",47,3128,182,2,19,,,,,,,,,268,5,2,758,2498,31,4,10,,,,,4831,696,8,634,,,,,1442,514,,21,3025,749,2,32,,,,,1142,15,30,6,53,30,,,2812,325,6,463,1495,36,4,191,3241,75,40,143,1033,3,,10
"1998",62,3430,207,7,25,,,,,,,,,307,2,,791,2720,35,4,12,,,,,4978,708,11,686,,,,,1420,529,2,35,3133,797,2,46,,,,,1249,23,31,7,51,29,,,2896,296,8,502,1601,33,2,209,3445,90,33,151,1199,4,3,13
"1999",46,3454,228,3,32,,,,,,,,,299,8,2,796,2741,25,6,6,,,,,5196,727,3,748,,,,,1509,530,2,29,3065,805,2,34,,,,,1324,12,50,7,58,27,,,2923,339,5,552,1597,35,1,230,3512,85,31,175,1175,1,4,17
"2000",75,3501,200,2,36,12775,474,49,752,3124,766,5,20,285,9,5,697,2587,29,3,9,3130,210,1,11,5101,780,10,751,2484,941,3,16,1561,528,,38,3025,807,3,32,7244,856,1,266,1255,17,44,13,58,26,,,2917,327,9,547,1540,39,4,268,3481,97,45,172,1236,2,4,18
"2001",63,3630,225,3,40,13049,523,69,759,3300,738,1,28,284,4,4,880,2677,27,5,10,3198,219,,12,5248,742,12,800,2499,951,,17,1619,582,1,39,3121,800,3,44,7327,858,3,255,1246,13,43,12,56,33,,,2838,305,6,601,1564,31,5,284,3641,85,48,201,1291,8,5,22
"2002",70,3433,237,3,46,13048,514,76,892,3308,791,5,30,321,5,4,858,2693,32,4,7,3138,219,,10,5240,737,7,895,2436,966,2,23,1509,636,2,55,3030,815,9,50,7140,858,1,251,1288,18,30,15,71,35,,,2947,329,11,670,1433,35,2,277,3715,89,49,224,1226,6,1,22
"2003",83,3346,222,5,53,12569,547,78,859,3290,810,4,27,303,7,5,768,2543,31,5,8,3102,211,,19,4858,746,10,882,2486,953,4,18,1506,750,2,53,2898,787,2,39,7074,843,9,276,1211,15,44,11,66,43,,,2665,310,8,585,1384,37,6,291,3518,104,40,198,1220,5,4,25
"2004",79,3430,240,,49,12505,571,74,960,3306,881,3,32,321,8,6,804,2596,28,4,9,3117,218,1,7,4931,802,3,939,2512,1023,8,21,1528,756,3,72,2859,801,3,49,7326,845,3,313,1356,15,57,8,72,30,,1,2565,360,9,670,1372,37,6,292,3531,116,52,263,1315,2,7,26
"2005",70,3508,253,3,51,12891,606,65,1048,3217,928,2,24,274,6,7,825,2594,23,2,10,3113,224,1,12,5207,770,9,951,2277,894,2,18,1474,744,,54,2842,802,7,42,7076,902,9,358,1266,11,60,6,61,33,,,2710,349,10,682,1424,33,5,331,3645,118,52,253,1278,5,8,22
"2006",63,3514,249,3,51,13083,636,78,1049,3393,964,5,46,283,14,8,756,2596,50,3,13,3337,252,1,16,4910,778,13,982,2428,920,2,21,1445,850,1,63,2856,935,4,41,7260,905,8,395,1286,15,54,15,81,34,,,2860,339,5,771,1388,39,3,329,3559,117,58,250,1346,8,6,33
"2007",73,3583,275,5,49,13553,708,91,1129,3671,1100,3,47,312,7,6,877,2665,30,3,12,3437,229,,10,5138,861,14,1069,2474,996,3,23,1637,960,5,78,2862,854,5,59,7419,1000,9,370,1377,22,67,12,83,36,1,,2846,337,4,835,1540,45,5,393,3845,105,49,272,1368,5,8,27
"2008",70,3656,282,5,57,14196,718,98,1267,3811,1062,6,41,344,11,2,911,2698,46,5,13,3470,264,,13,5231,806,19,1134,2504,1027,5,20,1651,943,3,84,2749,917,7,59,7608,1018,8,476,1371,24,63,13,85,41,,,2886,382,8,916,1570,22,4,438,3961,133,54,315,1529,11,4,37
"2009",76,3752,301,1,56,14365,738,97,1310,3872,1168,5,48,361,4,6,952,2792,36,5,22,3464,276,,14,5397,850,14,1110,2711,1158,6,20,1733,1001,2,85,2965,947,7,69,7741,1046,6,426,1488,21,62,8,76,47,,2,2857,356,10,913,1522,40,5,432,4178,154,79,332,1464,12,1,31
"2010",75,3740,299,12,65,13834,711,107,1410,3784,1109,6,38,346,17,4,974,2819,42,2,15,3495,255,2,16,5097,837,14,1201,2670,1115,6,27,1622,1000,1,90,2778,903,7,86,7599,1087,7,511,1457,20,64,11,95,40,,,2795,319,9,881,1532,53,3,418,3907,157,61,369,1505,8,7,34
"2011",84,3691,293,4,84,14427,772,111,1448,3967,1234,8,59,350,11,2,966,2856,41,5,22,3585,269,1,18,5414,884,11,1236,2734,1159,4,33,1780,1099,5,117,2940,952,7,79,7518,1097,17,524,1530,24,81,13,76,34,,,2825,388,15,1033,1521,50,7,386,4207,160,82,370,1622,17,5,38
"2012",91,3651,384,3,74,14675,802,137,1524,3951,1235,6,52,401,17,2,1015,2588,53,7,13,3685,304,,32,5427,912,14,1284,2722,1230,2,15,1761,1192,3,108,3043,941,14,97,7769,1134,5,468,1578,31,76,14,88,54,,1,2736,370,12,1075,1562,37,5,467,4211,174,58,436,1661,8,11,46
"2013",85,3729,317,6,100,14944,808,121,1546,4027,1352,3,60,392,10,7,1073,2650,43,6,20,3808,272,4,26,5518,891,20,1327,2753,1235,8,39,1813,1233,3,112,3083,1012,14,103,7930,1186,12,607,1606,22,71,28,88,45,,1,2872,377,22,1200,1568,48,6,508,4248,182,73,415,1640,11,7,50
"2014",91,3734,336,8,99,14926,862,133,1673,4197,1385,10,82,385,8,8,1100,2860,39,6,30,3979,294,1,21,5384,885,19,1281,2738,1329,8,40,1779,1260,3,142,3051,1042,7,101,7922,1179,9,605,1516,21,94,22,79,49,,2,2894,393,12,1154,1585,52,11,493,4340,189,66,501,1779,9,13,44
"2015",90,3747,370,5,112,15050,861,120,1830,4231,1434,7,78,373,16,4,1092,2939,54,7,39,3921,301,2,37,5798,912,13,1359,2888,1326,10,50,1811,1277,2,166,3106,1029,9,95,7823,1277,4,651,1536,27,82,26,96,44,,3,2985,371,11,1213,1569,66,3,610,4346,170,81,477,1725,10,11,54
"2016",79,3689,364,7,89,14440,834,128,1773,4261,1486,12,78,368,11,7,1116,2954,60,5,37,3835,288,5,27,5844,804,22,1467,2875,1342,6,38,1775,1363,11,174,2974,1005,11,97,7755,1307,15,697,1501,22,65,27,107,47,,2,2958,382,16,1143,1556,33,2,563,4390,187,66,496,1784,12,13,51



"Publisher:", "National Cancer Institute"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
